Scenario,Solver,Objective,Runtime (s),Assignments,Production (mÂ³),Mobilisation Cost (CAD)
Tiny7 (ground-based),SA,4306.52,32.71,23,4414.70,585.64
Tiny7 (ground-based),ILS,4349.26,46.14,23,4414.70,372.68
Tiny7 (ground-based),TABU,4349.26,292.53,23,4414.70,372.68
Small21 (ground-based),SA,15627.57,77.94,90,15966.97,1977.32
Small21 (ground-based),ILS,15638.08,86.02,90,15966.97,1924.56
Small21 (ground-based),TABU,15660.01,414.78,90,15966.97,2243.76
Med42 (ground-based),SA,-28271.22,124.48,211,32071.86,10662.04
Med42 (ground-based),ILS,-41581.70,182.33,213,32702.07,10662.28
Med42 (ground-based),TABU,-46063.73,177.37,212,30026.28,9846.12
Synthetic-small,SA,-75039.79,96.54,122,0.00,0.00
Synthetic-small,ILS,-75039.79,62.54,122,0.00,0.00
Synthetic-small,TABU,-75039.79,584.45,122,0.00,0.00
